,type,sms,processedSMS,filteredSMS
25,0,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,pl full name joke school co fee univers florida seem actual lt gt k pl holla back,"['pl', 'full', 'name', 'joke', 'school', 'co', 'fee', 'univers', 'florida', 'seem', 'actual', 'lt', 'gt', 'k', 'pl', 'holla', 'back']"
26,0,Aight sorry I take ten years to shower. What's the plan?,aight sorri take ten year shower plan,"['aight', 'sorri', 'take', 'ten', 'year', 'shower', 'plan']"
27,0,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,start send blackberri torch nigeria find buyer like 4a month tell dad buy bb anyon oh,"['start', 'send', 'blackberri', 'torch', 'nigeria', 'find', 'buyer', 'like', '4a', 'month', 'tell', 'dad', 'buy', 'bb', 'anyon', 'oh']"
28,0,Anything lor is she coming?,anyth lor come,"['anyth', 'lor', 'come']"
29,0,"And very importantly, all we discuss is between u and i only.",importantli discuss u,"['importantli', 'discuss', 'u']"
30,0,So are you guys asking that i get that slippers again or its gone with last year,guy ask get slipper gone last year,"['guy', 'ask', 'get', 'slipper', 'gone', 'last', 'year']"
31,0,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,plan yet go join compani jan 5 know happen,"['plan', 'yet', 'go', 'join', 'compani', 'jan', '5', 'know', 'happen']"
32,0,Have you always been saying welp?,alway say welp,"['alway', 'say', 'welp']"
33,0,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",rose red red blood blood heart heart u u send ti ur friend includ u like u get back 1 u r poor relat 2 u need 1 support 3 u r frnd 2 mani 4 some1 luv u 5 some1 pray god marri u tri,"['rose', 'red', 'red', 'blood', 'blood', 'heart', 'heart', 'u', 'u', 'send', 'ti', 'ur', 'friend', 'includ', 'u', 'like', 'u', 'get', 'back', '1', 'u', 'r', 'poor', 'relat', '2', 'u', 'need', '1', 'support', '3', 'u', 'r', 'frnd', '2', 'mani', '4', 'some1', 'luv', 'u', '5', 'some1', 'pray', 'god', 'marri', 'u', 'tri']"
34,0,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",night sweet sleep well see exorc emili rose may never sleep hug snog,"['night', 'sweet', 'sleep', 'well', 'see', 'exorc', 'emili', 'rose', 'may', 'never', 'sleep', 'hug', 'snog']"
35,0,How is your schedule next week? I am out of town this weekend.,schedul next week town weekend,"['schedul', 'next', 'week', 'town', 'weekend']"
36,0,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,suppos meet discuss abt trip thought xuhui told afternoon thought go lesson,"['suppos', 'meet', 'discuss', 'abt', 'trip', 'thought', 'xuhui', 'told', 'afternoon', 'thought', 'go', 'lesson']"
37,0,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",yo carlo friend alreadi ask work weekend,"['yo', 'carlo', 'friend', 'alreadi', 'ask', 'work', 'weekend']"
38,0,I can take you at like noon,take like noon,"['take', 'like', 'noon']"
39,0,Where are you?when wil you reach here?,wil reach,"['wil', 'reach']"
40,0,Carlos says we can pick up from him later so yeah we're set,carlo say pick later yeah set,"['carlo', 'say', 'pick', 'later', 'yeah', 'set']"
41,0,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,pl give prometazin syrup 5ml lt gt min later feed,"['pl', 'give', 'prometazin', 'syrup', '5ml', 'lt', 'gt', 'min', 'later', 'feed']"
42,0,Me too! Have a lovely night xxx,love night xxx,"['love', 'night', 'xxx']"
43,0,U 2.,u 2,"['u', '2']"
44,0,No he didn't. Spring is coming early yay!,spring come earli yay,"['spring', 'come', 'earli', 'yay']"
45,0,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",boy late 2 home father power frndship,"['boy', 'late', '2', 'home', 'father', 'power', 'frndship']"
46,0,HMM yeah if your not too grooved out! And im looking forward to my pound special :),hmm yeah groov im look forward pound special,"['hmm', 'yeah', 'groov', 'im', 'look', 'forward', 'pound', 'special']"
47,0,Why i come in between you people,come peopl,"['come', 'peopl']"
48,0,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sm,"['call', 'later', 'network', 'urgnt', 'sm']"
49,0,Hi where you. You in home or calicut?,hi home calicut,"['hi', 'home', 'calicut']"
50,0,Is that what time you want me to come?,time want come,"['time', 'want', 'come']"
51,0,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",said gon na snow start around 8 9 pm tonit predict inch accumul,"['said', 'gon', 'na', 'snow', 'start', 'around', '8', '9', 'pm', 'tonit', 'predict', 'inch', 'accumul']"
52,0,Ok leave no need to ask,ok leav need ask,"['ok', 'leav', 'need', 'ask']"
53,0,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",fun fact although would think armand would eventu build toler shit consid much smoke get fuck like 2 hit,"['fun', 'fact', 'although', 'would', 'think', 'armand', 'would', 'eventu', 'build', 'toler', 'shit', 'consid', 'much', 'smoke', 'get', 'fuck', 'like', '2', 'hit']"
54,0,Just wanted to say holy shit you guys weren't kidding about this bud,want say holi shit guy kid bud,"['want', 'say', 'holi', 'shit', 'guy', 'kid', 'bud']"
55,0,Hello madam how are you ?,hello madam,"['hello', 'madam']"
56,0,I'll let you know when it kicks in,let know kick,"['let', 'know', 'kick']"
57,0,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,nope go home go pump petrol lor like go 2 rain soon,"['nope', 'go', 'home', 'go', 'pump', 'petrol', 'lor', 'like', 'go', '2', 'rain', 'soon']"
58,0,Hey r  _ still online? I've finished the formatting...,hey r still onlin finish format,"['hey', 'r', 'still', 'onlin', 'finish', 'format']"
59,0,"Ok, be careful ! Don't text and drive !",ok care text drive,"['ok', 'care', 'text', 'drive']"
60,0,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",k fyi back parent place south tampa might need deal somewher els,"['k', 'fyi', 'back', 'parent', 'place', 'south', 'tampa', 'might', 'need', 'deal', 'somewher', 'els']"
61,0,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",grandma oh dear u still ill felt shit morn think hungov anoth night leav sat,"['grandma', 'oh', 'dear', 'u', 'still', 'ill', 'felt', 'shit', 'morn', 'think', 'hungov', 'anoth', 'night', 'leav', 'sat']"
62,0,"* Was really good to see you the other day dudette, been missing you!",realli good see day dudett miss,"['realli', 'good', 'see', 'day', 'dudett', 'miss']"
63,0,I.ll post her out l8r. In class,post l8r class,"['post', 'l8r', 'class']"
64,0,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,miser tell u side effect birth control massiv gut wrench cramp first 2 month sleep last night,"['miser', 'tell', 'u', 'side', 'effect', 'birth', 'control', 'massiv', 'gut', 'wrench', 'cramp', 'first', '2', 'month', 'sleep', 'last', 'night']"
65,0,Excellent! Are you ready to moan and scream in ecstasy?,excel readi moan scream ecstasi,"['excel', 'readi', 'moan', 'scream', 'ecstasi']"
66,0,* You gonna ring this weekend or wot?,gon na ring weekend wot,"['gon', 'na', 'ring', 'weekend', 'wot']"
67,0,Lol or I could just starve and lose a pound by the end of the day.,lol could starv lose pound end day,"['lol', 'could', 'starv', 'lose', 'pound', 'end', 'day']"
68,0,"Dude u knw also telugu..thts gud..k, gud nyt..",dude u knw also telugu tht gud k gud nyt,"['dude', 'u', 'knw', 'also', 'telugu', 'tht', 'gud', 'k', 'gud', 'nyt']"
69,0,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",storm msg wen u lift phne u say hello u knw wt real mean hello name girl ye u knw dat girl margaret hello girlfrnd f grahmbel invnt telphon moral one 4get name person,"['storm', 'msg', 'wen', 'u', 'lift', 'phne', 'u', 'say', 'hello', 'u', 'knw', 'wt', 'real', 'mean', 'hello', 'name', 'girl', 'ye', 'u', 'knw', 'dat', 'girl', 'margaret', 'hello', 'girlfrnd', 'f', 'grahmbel', 'invnt', 'telphon', 'moral', 'one', '4get', 'name', 'person']"
70,0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",mani peopl seem special first sight remain special till last sight maintain till life end take cr da,"['mani', 'peopl', 'seem', 'special', 'first', 'sight', 'remain', 'special', 'till', 'last', 'sight', 'maintain', 'till', 'life', 'end', 'take', 'cr', 'da']"
71,0,Shall call now dear having food,shall call dear food,"['shall', 'call', 'dear', 'food']"
72,0,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,right though give space want need realli start becom issu go suggest set definit move still greec mayb readi,"['right', 'though', 'give', 'space', 'want', 'need', 'realli', 'start', 'becom', 'issu', 'go', 'suggest', 'set', 'definit', 'move', 'still', 'greec', 'mayb', 'readi']"
73,0,By monday next week. Give me the full gist,monday next week give full gist,"['monday', 'next', 'week', 'give', 'full', 'gist']"
74,0,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,dunno co v late n reach insid alreadi ate spageddi lor e gal r laugh lor,"['dunno', 'co', 'v', 'late', 'n', 'reach', 'insid', 'alreadi', 'ate', 'spageddi', 'lor', 'e', 'gal', 'r', 'laugh', 'lor']"
75,0,Mm have some kanji dont eat anything heavy ok,mm kanji dont eat anyth heavi ok,"['mm', 'kanji', 'dont', 'eat', 'anyth', 'heavi', 'ok']"
76,0,Yup,yup,['yup']
77,0,Ultimately tor motive tui achieve korli.,ultim tor motiv tui achiev korli,"['ultim', 'tor', 'motiv', 'tui', 'achiev', 'korli']"
78,0,Sorry . I will be able to get to you. See you in the morning.,sorri abl get see morn,"['sorri', 'abl', 'get', 'see', 'morn']"
79,0,Don know..wait i will check it.,know wait check,"['know', 'wait', 'check']"
80,0,What r u cooking me for dinner?,r u cook dinner,"['r', 'u', 'cook', 'dinner']"
81,0,Oh k.k..where did you take test?,oh k k take test,"['oh', 'k', 'k', 'take', 'test']"
82,0,"Goodmorning,my grandfather expired..so am on leave today.",goodmorn grandfath expir leav today,"['goodmorn', 'grandfath', 'expir', 'leav', 'today']"
83,0,Come to medical college at 7pm ......forward it da,come medic colleg 7pm forward da,"['come', 'medic', 'colleg', '7pm', 'forward', 'da']"
84,0,"Babe, I need your advice",babe need advic,"['babe', 'need', 'advic']"
85,0,When can  _ come out?,come,['come']
86,0,I have gone into get info bt dont know what to do,gone get info bt dont know,"['gone', 'get', 'info', 'bt', 'dont', 'know']"
87,0,Then dun wear jeans lor...,dun wear jean lor,"['dun', 'wear', 'jean', 'lor']"
88,0,"I'll get there at 3, unless you guys want me to come some time sooner",get 3 unless guy want come time sooner,"['get', '3', 'unless', 'guy', 'want', 'come', 'time', 'sooner']"
89,0,Sent me ur email id soon,sent ur email id soon,"['sent', 'ur', 'email', 'id', 'soon']"
90,0,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",tell shola pleas go colleg medicin visit academ depart tell academ secretari current situat ask transfer ask someon check sagamu thing lautech vital complet medic educ nigeria less expens much less expens unless get citizen rate new zealand,"['tell', 'shola', 'pleas', 'go', 'colleg', 'medicin', 'visit', 'academ', 'depart', 'tell', 'academ', 'secretari', 'current', 'situat', 'ask', 'transfer', 'ask', 'someon', 'check', 'sagamu', 'thing', 'lautech', 'vital', 'complet', 'medic', 'educ', 'nigeria', 'less', 'expens', 'much', 'less', 'expens', 'unless', 'get', 'citizen', 'rate', 'new', 'zealand']"
91,0,Like a personal sized or what,like person size,"['like', 'person', 'size']"
92,0,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,friendship poem dear dear u r near hear dont get fear live cheer tear u r alway dear gud ni8,"['friendship', 'poem', 'dear', 'dear', 'u', 'r', 'near', 'hear', 'dont', 'get', 'fear', 'live', 'cheer', 'tear', 'u', 'r', 'alway', 'dear', 'gud', 'ni8']"
93,0,"Thanks da thangam, i feel very very happy dear. I also miss you da.",thank da thangam feel happi dear also miss da,"['thank', 'da', 'thangam', 'feel', 'happi', 'dear', 'also', 'miss', 'da']"
94,0,You could have seen me..i did't recognise you Face.:),could seen recognis face,"['could', 'seen', 'recognis', 'face']"
95,0,Very hurting n meaningful lines ever: \I compromised everything for my love,hurt n meaning line ever compromis everyth love,"['hurt', 'n', 'meaning', 'line', 'ever', 'compromis', 'everyth', 'love']"
96,0,Minimum walk is 3miles a day.,minimum walk 3mile day,"['minimum', 'walk', '3mile', 'day']"
97,0,Ok. How many should i buy.,ok mani buy,"['ok', 'mani', 'buy']"
98,0,Same as kallis dismissial in 2nd test:-).,kalli dismissi 2nd test,"['kalli', 'dismissi', '2nd', 'test']"
99,0,"No, I was trying it all weekend ;V",tri weekend v,"['tri', 'weekend', 'v']"
100,0,"By the way, 'rencontre' is to meet again. Mountains dont....",way rencontr meet mountain dont,"['way', 'rencontr', 'meet', 'mountain', 'dont']"
101,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', '4', 'free', 'abt', 'muz', 'call', 'u', 'discuss', 'liao']"
102,0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob,"['wnt', 'buy', 'bmw', 'car', 'urgent', 'vri', 'urgent', 'hv', 'shortag', 'lt', 'gt', 'lac', 'sourc', 'arng', 'di', 'amt', 'lt', 'gt', 'lac', 'that', 'prob']"
103,0,I dont have i shall buy one dear,dont shall buy one dear,"['dont', 'shall', 'buy', 'one', 'dear']"
104,0,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,someon smoke everi time smoke last two week call text want smoke,"['someon', 'smoke', 'everi', 'time', 'smoke', 'last', 'two', 'week', 'call', 'text', 'want', 'smoke']"
105,0,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",daddi shu shu look 4 u u wan 2 tell u singapor wat,"['daddi', 'shu', 'shu', 'look', '4', 'u', 'u', 'wan', '2', 'tell', 'u', 'singapor', 'wat']"
106,0,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,sing hu think also import find someon femal know place well prefer citizen also smart help navig even thing like choos phone plan requir guidanc doubt ask especi girl,"['sing', 'hu', 'think', 'also', 'import', 'find', 'someon', 'femal', 'know', 'place', 'well', 'prefer', 'citizen', 'also', 'smart', 'help', 'navig', 'even', 'thing', 'like', 'choos', 'phone', 'plan', 'requir', 'guidanc', 'doubt', 'ask', 'especi', 'girl']"
107,0,Sorry da thangam.it's my mistake.,sorri da thangam mistak,"['sorri', 'da', 'thangam', 'mistak']"
108,0,Change again... It's e one next to escalator...,chang e one next escal,"['chang', 'e', 'one', 'next', 'escal']"
109,0,LMAO where's your fish memory when I need it?,lmao fish memori need,"['lmao', 'fish', 'memori', 'need']"
110,0,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",wonder got onlin love gone net cafe get phone recharg friend net think boytoy,"['wonder', 'got', 'onlin', 'love', 'gone', 'net', 'cafe', 'get', 'phone', 'recharg', 'friend', 'net', 'think', 'boytoy']"
111,0,"Sorry, went to bed early, nightnight",sorri went bed earli nightnight,"['sorri', 'went', 'bed', 'earli', 'nightnight']"
112,0,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,"['taught', 'ranjith', 'sir', 'call', 'sm', 'like', 'becau', 'he', 'verifi', 'project', 'prabu', 'told', 'today', 'pa', 'dont', 'mistak']"
113,0,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,want sent lt gt mesag today that sorri hurt,"['want', 'sent', 'lt', 'gt', 'mesag', 'today', 'that', 'sorri', 'hurt']"
114,0,Ugh just got outta class,ugh got outta class,"['ugh', 'got', 'outta', 'class']"
115,0,Yup,yup,['yup']
116,0,No need lar i go engin? Cos my sis at arts today...,need lar go engin co si art today,"['need', 'lar', 'go', 'engin', 'co', 'si', 'art', 'today']"
117,0,Now get step 2 outta the way. Congrats again.,get step 2 outta way congrat,"['get', 'step', '2', 'outta', 'way', 'congrat']"
118,0,"Call me, i am senthil from hsbc.",call senthil hsbc,"['call', 'senthil', 'hsbc']"
119,0,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",actual fuck whatev find excus tampa point januari though,"['actual', 'fuck', 'whatev', 'find', 'excus', 'tampa', 'point', 'januari', 'though']"
120,0,"life alle mone,eppolum oru pole allalo",life all mone eppolum oru pole allalo,"['life', 'all', 'mone', 'eppolum', 'oru', 'pole', 'allalo']"
121,0,I hope you know I'm still mad at you.,hope know still mad,"['hope', 'know', 'still', 'mad']"
122,0,Great. P diddy is my neighbor and comes for toothpaste every morning,great p diddi neighbor come toothpast everi morn,"['great', 'p', 'diddi', 'neighbor', 'come', 'toothpast', 'everi', 'morn']"
123,0,I.ll get there tomorrow and send it to you,get tomorrow send,"['get', 'tomorrow', 'send']"
124,0,U buy newspapers already?,u buy newspap alreadi,"['u', 'buy', 'newspap', 'alreadi']"
125,0,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",motiv behind everi dark shine light wait find behind everi best friend alway trust love bslvyl,"['motiv', 'behind', 'everi', 'dark', 'shine', 'light', 'wait', 'find', 'behind', 'everi', 'best', 'friend', 'alway', 'trust', 'love', 'bslvyl']"
126,0,\HEY KATE,hey kate,"['hey', 'kate']"
127,0,Sorry about that this is my mates phone and i didnt write it love Kate,sorri mate phone didnt write love kate,"['sorri', 'mate', 'phone', 'didnt', 'write', 'love', 'kate']"
128,0,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem,"['wat', 'make', 'peopl', 'dearer', 'de', 'happi', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem']"
129,0,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",come slave go shell unconsci avoid make unhappi,"['come', 'slave', 'go', 'shell', 'unconsci', 'avoid', 'make', 'unhappi']"
130,0,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via fullonsm com,"['messag', 'text', 'miss', 'sender', 'name', 'miss', 'number', 'miss', 'sent', 'date', 'miss', 'miss', 'u', 'lot', 'that', 'everyth', 'miss', 'sent', 'via', 'fullonsm', 'com']"
131,0,How much you got for cleaning,much got clean,"['much', 'got', 'clean']"
132,0,"K, wat s tht incident?",k wat tht incid,"['k', 'wat', 'tht', 'incid']"
133,0,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,di yiju ju saw ur mail case huim havent sent u num di num,"['di', 'yiju', 'ju', 'saw', 'ur', 'mail', 'case', 'huim', 'havent', 'sent', 'u', 'num', 'di', 'num']"
134,0,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,height confid aeronaut professor wer calld amp wer askd 2 sit aeroplan aftr sat wer told dat plane ws made student dey hurri plane bt 1 didnt move said made student,"['height', 'confid', 'aeronaut', 'professor', 'wer', 'calld', 'amp', 'wer', 'askd', '2', 'sit', 'aeroplan', 'aftr', 'sat', 'wer', 'told', 'dat', 'plane', 'ws', 'made', 'student', 'dey', 'hurri', 'plane', 'bt', '1', 'didnt', 'move', 'said', 'made', 'student']"
135,0,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,wake sinc check stuff saw true avail space pl call embassi send mail,"['wake', 'sinc', 'check', 'stuff', 'saw', 'true', 'avail', 'space', 'pl', 'call', 'embassi', 'send', 'mail']"
136,0,"Alright omw, gotta change my order to a half8th",alright omw got ta chang order half8th,"['alright', 'omw', 'got', 'ta', 'chang', 'order', 'half8th']"
137,0,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,lost 4 pound sinc doc visit last week woot woot gon na celebr stuf face,"['lost', '4', 'pound', 'sinc', 'doc', 'visit', 'last', 'week', 'woot', 'woot', 'gon', 'na', 'celebr', 'stuf', 'face']"
138,0,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",got hella ga money want go grand natur adventur galileo littl bit,"['got', 'hella', 'ga', 'money', 'want', 'go', 'grand', 'natur', 'adventur', 'galileo', 'littl', 'bit']"
139,0,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",rose red red blood blood heart heart u u send ti ur friend includ u like u get back 1 u r poor relat 2 u need 1 support 3 u r frnd 2 mani 4 some1 luv u 5 some1 pray god marri u tri,"['rose', 'red', 'red', 'blood', 'blood', 'heart', 'heart', 'u', 'u', 'send', 'ti', 'ur', 'friend', 'includ', 'u', 'like', 'u', 'get', 'back', '1', 'u', 'r', 'poor', 'relat', '2', 'u', 'need', '1', 'support', '3', 'u', 'r', 'frnd', '2', 'mani', '4', 'some1', 'luv', 'u', '5', 'some1', 'pray', 'god', 'marri', 'u', 'tri']"
140,0,yay! finally lol. i missed our cinema trip last week :-(,yay final lol miss cinema trip last week,"['yay', 'final', 'lol', 'miss', 'cinema', 'trip', 'last', 'week']"
141,0,He remains a bro amongst bros,remain bro amongst bro,"['remain', 'bro', 'amongst', 'bro']"
142,0,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,hiya last night naughti bought cloth littl readi shop tho kind time wan na meet,"['hiya', 'last', 'night', 'naughti', 'bought', 'cloth', 'littl', 'readi', 'shop', 'tho', 'kind', 'time', 'wan', 'na', 'meet']"
143,0,I am in tirupur.  call you da.,tirupur call da,"['tirupur', 'call', 'da']"
144,0,I'm reaching home in 5 min.,reach home 5 min,"['reach', 'home', '5', 'min']"
145,0,26th OF JULY,26th juli,"['26th', 'juli']"
146,0,No:-)i got rumour that you going to buy apartment in chennai:-),got rumour go buy apart chennai,"['got', 'rumour', 'go', 'buy', 'apart', 'chennai']"
