,Experiment Name,Feature_List,Model,Epochs,Hyperparameters,Training Accuracy,Testing Accuracy,Training PR-AUC,Testing PR-AUC,Training Precision,Testing Precision,Training Recall,Testing Recall
10,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,criterion=gini,1,0.804347826,1,0.891972568,1,0.88172043,1,0.76635514
11,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,criterion=entropy,1,0.804347826,1,0.902113859,1,0.917647059,1,0.728971963
12,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=best",1,0.788043478,1,0.88198395,1,0.869565217,1,0.747663551
13,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random",1,0.804347826,1,0.894211792,1,0.89010989,1,0.757009346
14,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=auto",1,0.826086957,1,0.906636268,1,0.903225806,1,0.785046729
15,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=sqrt",1,0.788043478,1,0.876537246,1,0.846938776,1,0.775700935
16,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=log2",1,0.815217391,1,0.893277811,1,0.868686869,1,0.803738318
17,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=sqrt, max_depth=300",1,0.804347826,1,0.888013055,1,0.865979381,1,0.785046729
18,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=sqrt, max_depth=300, min_samples_split=2",1,0.777173913,1,0.871031847,1,0.84375,1,0.757009346
19,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=sqrt, max_depth=300, min_samples_split=2, min_samples_leaf=1",1,0.809782609,1,0.88736047,1,0.852941176,1,0.813084112
20,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, max_iter=3000",0.880108992,0.869565217,0.918327623,0.924079228,0.880778589,0.902912621,0.902743142,0.869158879
21,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, max_iter=3000",0.877384196,0.869565217,0.913982425,0.920459163,0.864168618,0.887850467,0.920199501,0.887850467
22,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(3, 2), max_iter=3000",0.546321526,0.581521739,0.773160763,0.79076087,0.546321526,0.581521739,1,1
23,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(4, 1), max_iter=3000",0.546321526,0.581521739,0.773160763,0.79076087,0.546321526,0.581521739,1,1
24,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(100, 100), max_iter=3000",0.852861035,0.858695652,0.894512999,0.906479526,0.807127883,0.840336134,0.960099751,0.934579439
25,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(100, 100), alpha=0.001, max_iter=3000",0.813351499,0.815217391,0.871994411,0.879739833,0.751908397,0.782945736,0.982543641,0.943925234
26,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(100, 100), alpha=0.001, learning_rate=constant, max_iter=3000",0.870572207,0.826086957,0.925289769,0.921149449,0.929775281,0.951807229,0.825436409,0.738317757
27,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(100, 100), alpha=0.001, learning_rate=adaptive, max_iter=3000",0.889645777,0.836956522,0.92637762,0.907289832,0.89800995,0.888888889,0.900249377,0.822429907
28,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(100, 100), alpha=0.001, learning_rate=invscaling, max_iter=3000",0.836512262,0.760869565,0.917383787,0.898085128,0.954692557,0.956521739,0.735660848,0.61682243
29,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,MLPClassifier,N/A,"solver=adam, activation=relu, hidden_layer_sizes=(100, 100), alpha=0.001, learning_rate=constant, shuffle=False, max_iter=3000",0.916893733,0.809782609,0.953038849,0.901746795,0.956989247,0.909090909,0.887780549,0.747663551
30,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,loss=deviance,0.946866485,0.880434783,0.962762783,0.930889103,0.943627451,0.912621359,0.960099751,0.878504673
31,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,loss=exponential,0.940054496,0.891304348,0.958032849,0.935632292,0.936430318,0.914285714,0.955112219,0.897196262
32,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=friedman_mse",0.946866485,0.880434783,0.962762783,0.930889103,0.943627451,0.912621359,0.960099751,0.878504673
33,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=squared_error",0.946866485,0.875,0.962762783,0.92850527,0.943627451,0.911764706,0.960099751,0.869158879
34,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=friedman_mse, min_samples_split=2",0.946866485,0.875,0.962762783,0.92850527,0.943627451,0.911764706,0.960099751,0.869158879
35,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=friedman_mse, min_samples_split=9",0.941416894,0.869565217,0.960220976,0.924079228,0.943069307,0.902912621,0.950124688,0.869158879
36,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=friedman_mse, min_samples_split=9, min_samples_leaf=1",0.941416894,0.869565217,0.960220976,0.924079228,0.943069307,0.902912621,0.950124688,0.869158879
37,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=friedman_mse, min_samples_split=9, min_samples_leaf=3",0.948228883,0.875,0.962883345,0.92850527,0.941605839,0.911764706,0.965087282,0.869158879
38,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,GradientBoostClassifier,N/A,"loss=deviance, criterion=friedman_mse, min_samples_split=9, min_samples_leaf=3, learning_rate=0.28",1,0.864130435,1,0.925940073,1,0.918367347,1,0.841121495
